epoch,test_kl,test_x,test_mof,test_y,test_loss,lcd-r2,lcd-MAE,pld-r2,pld-MAE,density-r2,density-MAE,avf-r2,avf-MAE,avsa-r2,avsa-MAE,agsa-r2,agsa-MAE,co2n2_co2_mol_kg-r2,co2n2_co2_mol_kg-MAE,co2n2_n2_mol_kg-r2,co2n2_n2_mol_kg-MAE,co2n2_selectivity-r2,co2n2_selectivity-MAE,co2n2_heat_avg-r2,co2n2_heat_avg-MAE,co2n2_heat_co2-r2,co2n2_heat_co2-MAE,co2n2_heat_n2-r2,co2n2_heat_n2-MAE,co2n2_heat_molfrac-r2,co2n2_heat_molfrac-MAE,co2ch4_co2_mol_kg-r2,co2ch4_co2_mol_kg-MAE,co2ch4_ch4_mol_kg-r2,co2ch4_ch4_mol_kg-MAE,co2ch4_selectivity-r2,co2ch4_selectivity-MAE,co2ch4_heat_avg-r2,co2ch4_heat_avg-MAE,co2ch4_heat_co2-r2,co2ch4_heat_co2-MAE,co2ch4_heat_ch4-r2,co2ch4_heat_ch4-MAE,co2ch4_heat_molfrac-r2,co2ch4_heat_molfrac-MAE,scscore-r2,scscore-MAE,lr,λ_x,λ_kl,λ_y,λ_mof,train_kl,train_x,train_mof,train_y,train_loss,valid_smiles,mof_acc,mean_r2,train_kl_ratio,train_x_ratio,train_mof_ratio,train_y_ratio,test_kl_ratio,test_x_ratio,test_mof_ratio,test_y_ratio
0,1653.5541323148286,1.364863714346519,18.345172221844013,1.9776222522442157,1.3813992532399983,0.8854728925684912,106.7131576538086,0.33358687413729693,210.0262451171875,0.8468683630927888,129.14353942871094,0.8829401727884154,92.89964294433594,0.6755552746847424,141.4352569580078,0.19367057578610225,191.94869995117188,0.1722883169001619,184.21775817871094,-0.09628108347497544,198.9728240966797,0.3565773276783546,203.8544464111328,0.8201939948259724,164.99351501464844,-1.9785762704410752,237.3262176513672,-8.281746153441203,270.3072814941406,-0.7527712718910484,228.99295043945312,0.779404056258992,124.92806243896484,0.8674570907833256,105.09452819824219,0.8085824128235111,113.22831726074219,0.9589365368637175,69.21397399902344,-7.489179495052202,293.08441162109375,0.9002025112128256,111.62972259521484,0.6700522928726915,127.10334014892578,-4.341530257661454,254.95489501953125,0.00013138571209279765,1.0,1e-05,0.0,0.0,1483.0295256741385,2.085146949133801,18.34054899557109,46.75995364526765,2.0999772441510465,0.0,0.9808050080450523,-0.6089664685087891,0.007062121886343011,0.9929378782277039,0.0,0.0,0.01197013917907155,0.9880298625797748,0.0,0.0
1,617.7631480877216,0.9688938179841409,17.493919849395752,1.3309606222005992,1.0277326754652536,0.8180156531502327,147.89089965820312,0.16415226151424256,209.5211181640625,0.7886427455485245,145.11322021484375,0.7484222525063116,145.8169708251953,0.5225277164000067,179.26895141601562,0.10160495390734647,213.5001678466797,-0.025952686447854534,214.76988220214844,-0.11255022891202682,182.0685272216797,0.1987643544564709,204.41957092285156,0.8037669543291053,159.48385620117188,-2.4726839818953352,265.6172790527344,-9.915879746981647,284.53863525390625,-0.8937412610323479,248.5380401611328,0.710209086448742,158.5989532470703,0.8598097762758554,93.82535552978516,0.5945115429939465,143.36819458007812,0.9491625693840634,87.07498168945312,-7.635736904042979,282.22381591796875,0.8575469231976348,109.86280822753906,0.6373154870046114,142.9844512939453,-5.552194948699034,293.6360778808594,0.00013138571209279765,1.0,9.524501207184006e-05,0.0,0.0,751.8258248437655,1.1843323573861315,17.707629423058023,33.6412464663825,1.255940017097036,0.0,1.1171937851971037,-0.8502041657568633,0.057015190843810036,0.942984809197801,0.0,0.0,0.05725113144866846,0.9427488695399546,0.0,0.0
2,403.205128302941,0.7921279078492751,17.30887137926542,1.1782869008871226,0.8649024115158961,0.8685099990414289,132.86241149902344,0.29724762887215606,186.85250854492188,0.8856002288246687,107.40550231933594,0.7927477489592742,138.09898376464844,0.4761868595284726,191.231689453125,0.1009390632839472,210.0237579345703,0.31103871326558497,174.52999877929688,0.3137868206507697,150.685546875,0.46377686372979865,170.960693359375,0.8656563229948679,138.70236206054688,-2.1256595246804157,251.8953857421875,-7.150976061196008,248.79039001464844,-0.6046193551838821,224.49453735351562,0.7877285417672768,141.58135986328125,0.9380068518024611,64.60490417480469,0.7360410978399432,118.46244049072266,0.9912493177413777,39.815189361572266,-5.941654250137331,258.7516174316406,0.9139721032303408,86.47648620605469,0.7877378679888524,110.41070556640625,-3.9912346602974873,259.4419250488281,0.00013138571209279765,1.0,0.0001804900241436801,0.0,0.0,440.88810075685535,0.9124289704583046,17.401085253452248,27.74137156447818,0.9920048745454259,0.0,1.2564109010458568,-0.44209132485590025,0.08021725093511338,0.9197827489269285,0.0,0.0,0.08414186661209919,0.9158581330128671,0.0,0.0
3,294.56824962909405,0.6802661587985662,17.222104200950035,1.1335692222301776,0.7585432598224053,0.8717054654799548,134.6658172607422,0.30829872729547547,180.27015686035156,0.9546364376830301,73.0488510131836,0.7867123973793063,135.03857421875,0.800885099981767,129.64678955078125,0.5631246544359434,157.98464965820312,0.3962131387548863,161.67642211914062,0.12316341998477587,172.3710479736328,0.6725371506551359,136.54293823242188,0.8630255846358218,134.7342071533203,-1.9445249408380643,241.7657470703125,-9.642016773018325,280.4372253417969,-0.7075859307261652,238.275390625,0.7784879858209983,147.31507873535156,0.9966096903676935,20.855369567871094,0.7234002522090817,123.15943908691406,0.9965011368025781,23.230838775634766,-3.923227156829899,220.9042205810547,0.9337212058376168,81.81026458740234,0.6695816921433545,137.20755004882812,-3.46321049755793,249.77285766601562,0.00013138571209279765,1.0,0.0002657350362155202,0.0,0.0,313.1395714516287,0.7691467924068727,17.279631862776945,25.796388799838823,0.852358944423633,0.0,1.38384327232502,-0.39247434569061734,0.09762571966259974,0.9023742842599856,0.0,0.0,0.10319398856890034,0.8968060159915391,0.0,0.0
4,227.0356049170861,0.5985663114831998,17.178173083525436,1.1301191036517804,0.6782512828134574,0.8907272375302395,124.07122039794922,0.49229407116447277,162.74850463867188,0.9813617427677187,51.30286407470703,0.831079770186193,125.18765258789062,0.7840510065861511,132.54600524902344,0.6239433143537887,143.6912841796875,0.6465822450731686,129.1546630859375,0.4127881238825829,143.1717071533203,0.745967047186104,126.11982727050781,0.9212530536794524,108.59239196777344,-1.3459623028902907,231.80477905273438,-7.42833964849784,250.12420654296875,-0.8714288726430093,242.10572814941406,0.8210810374541553,130.6214141845703,0.9904450538082685,35.03160858154297,0.725138497511915,119.32147216796875,0.9755323719894893,57.802398681640625,-2.1682937642770024,176.59515380859375,0.9703416693052521,58.79296875,0.8381945002517034,101.44818115234375,-2.9302799889282447,231.07301330566406,0.00013138571209279765,1.0,0.00035098004828736025,0.0,0.0,238.451231696251,0.6729737317268111,17.21476215887563,25.356836358421646,0.7566653587273785,0.0,1.3814863234111023,-0.09969161116693954,0.11060586274980276,0.8893941343616856,0.0,0.0,0.11748590765093334,0.8825140868149693,0.0,0.0
5,184.04030653146597,0.532926213569366,17.161554666665886,1.140202705676739,0.613209208043722,0.9616983101262785,80.23636627197266,0.6660171681717452,141.40492248535156,0.8968528904135253,97.0320816040039,0.9160689906988457,88.92327880859375,0.6575877470639417,160.21951293945312,0.6992686806805166,123.49256896972656,0.8348227548761771,84.29420471191406,0.5639885059923869,129.81759643554688,0.722986546020759,137.7364044189453,0.8067884556316282,162.22898864746094,-0.7992194038392879,200.79815673828125,-5.917101384163183,224.8255615234375,-0.011739622773650593,183.00897216796875,0.81909234775355,133.3211669921875,0.990296360092003,33.04132080078125,0.964458345288859,50.67982864379883,0.9833125794827068,46.12079620361328,-3.9572397591466153,228.7747802734375,0.9811153515161045,43.48908233642578,0.946383567374873,66.65149688720703,-3.936394381652625,277.29779052734375,0.00013138571209279765,1.0,0.00043622506035920027,0.0,0.0,191.50920628173634,0.598519526688751,17.18637520601186,25.396088874046065,0.6820606426672985,0.0,1.4217115848753017,-0.05766456906626004,0.12248341253483436,0.8775165861325062,0.0,0.0,0.13092268147984212,0.8690773174615606,0.0,0.0
6,157.80157632094162,0.4695274560497357,17.151754177533665,1.1596195514385517,0.5518162582929318,0.9790255208028622,59.551212310791016,0.8555834847010887,99.97078704833984,0.9889261097965427,32.68939971923828,0.9628409318823546,59.527191162109375,0.8237798930170953,123.01992797851562,0.5288687531545916,147.33154296875,0.6404293528813831,132.32086181640625,0.18362068062859405,177.59823608398438,0.7435022998300571,117.16714477539062,0.9563919141708381,85.97406005859375,-0.039715509661830684,158.06884765625,-2.1084710954898056,160.83477783203125,0.38858800359617773,146.6652069091797,0.7916912823620551,132.52908325195312,0.9368909379593645,68.80966186523438,0.9244804116231685,66.77911376953125,0.9729528899016318,65.74239349365234,-5.099750135788119,241.56790161132812,0.9903658947395533,34.52062225341797,0.8907497702031271,75.5311508178711,-2.748420452720449,227.6954803466797,0.00013138571209279765,1.0,0.0005214700724310403,0.0,0.0,160.2056662378182,0.5325575290024044,17.171408525040533,25.963005741152767,0.61609999281884,0.0,1.4188832461786003,0.16963480655191812,0.13559886601307464,0.8644011284041668,0.0,0.0,0.14912355008962194,0.8508764448192228,0.0,0.0
7,138.1583429483267,0.41554369691472787,17.14142159315256,1.178043402158297,0.4993664496220075,0.9830933963586489,54.19420623779297,0.8213204103656517,114.40094757080078,0.9042030206445246,94.4635009765625,0.9515775343483147,61.19508743286133,0.7458477086413716,126.52334594726562,0.6013524402433998,133.53799438476562,0.9157297889574618,67.38246154785156,0.7017308325072592,108.37721252441406,0.852525388832964,100.59208679199219,0.969042166730145,69.81326293945312,-0.5883692220454515,184.57049560546875,-3.102847348303518,174.6702880859375,-0.06251954005449378,179.5264129638672,0.9037420976869007,84.38019561767578,0.9897047960244526,28.18479347229004,0.9128999926577813,84.13700866699219,0.9660925344156133,68.03401947021484,-1.998210275784924,173.04859924316406,0.8164738477550773,129.31692504882812,0.8613834766131931,87.54207611083984,-1.8047953739929725,201.4959716796875,0.00013138571209279765,1.0,0.0006067150845028804,0.0,0.0,140.07535725960014,0.4722146701509268,17.162001165968135,26.418946016565048,0.5572005045157913,0.0,1.4933628318584071,0.30190369869530476,0.15252289171988884,0.8474771044245242,0.0,0.0,0.1678581946787196,0.832141801335014,0.0,0.0
8,124.74110728043776,0.36929161158891827,17.140777367811936,1.185405474442702,0.4556074795814661,0.9656284666675207,74.4776382446289,0.8252285160782264,113.97349548339844,0.9993199073011801,11.504258155822754,0.9854445005349006,43.05845642089844,0.8062784524566187,117.77153015136719,0.5559250028783995,146.42088317871094,0.8736689977795966,83.09220123291016,0.34454581557638964,160.0877685546875,0.5983781329303475,156.98245239257812,0.9504537318221274,85.28014373779297,-0.18335399036841293,154.87570190429688,-2.904195641306009,170.17291259765625,0.5134851991637761,139.95726013183594,0.8505706457335903,118.23406219482422,0.927775165275901,73.99893188476562,0.9994502563185917,9.15444564819336,0.9310104210625628,101.43463134765625,-2.7320542916012758,192.58970642089844,0.9981210943933302,15.428189277648926,0.8729157103299198,93.69190216064453,-1.515302175892825,197.59130859375,0.00013138571209279765,1.0,0.0006919600965747205,0.0,0.0,125.23729070938099,0.42121641431522444,17.1570188693803,26.930764972926514,0.5078756227176533,0.0,1.534530872888174,0.317299710339736,0.17063076843559521,0.8293692303270758,0.0,0.0,0.18945226430413625,0.8105477371182755,0.0,0.0
9,113.74655723571777,0.3288408484883033,17.13672924041748,1.199853933774508,0.41724525306087273,0.9902688868570829,41.50764465332031,0.8944532222200489,91.42462921142578,0.9932738900157113,27.741201400756836,0.9742158833507149,51.016937255859375,0.8596210911360062,97.98199462890625,0.548103263633365,155.0384063720703,0.8259666630267283,92.2815933227539,0.8192055997048331,92.79327392578125,0.8611133326514764,109.26200866699219,0.946910192764901,90.64007568359375,0.5450615398770073,94.96361541748047,-3.35806859417523,183.8006591796875,0.5260508803768831,126.70738983154297,0.9823676904636419,49.68507766723633,0.9852094343999466,33.96897888183594,0.9881575613192098,26.48934555053711,0.9764806226207445,57.7839241027832,-1.673430271770782,163.72689819335938,0.9726365258787524,51.83686065673828,0.7187331841594442,122.35094451904297,-3.1856108290240464,227.22116088867188,0.00013138571209279765,1.0,0.0007772051086465605,0.0,0.0,113.64904139358654,0.3781734530235342,17.15314118864049,27.11083916775651,0.46650206798490496,0.0,1.5414445897023332,0.34241522711840183,0.18934238801003134,0.8106576132815153,0.0,0.0,0.21187635982921715,0.788123642092887,0.0,0.0
